0,1,2,3
Achutha Raju Kalvakolanu,Upsell,23.376623153686523,1050925.0419921875
Achutha Raju Kalvakolanu,Expansion,22.54901885986328,870197.0981445312
Achutha Raju Kalvakolanu,New Business,18.66666603088379,781643.05078125
Achutha Raju Kalvakolanu,Renewal,15.189873695373535,631666.0344238281
Achutha Raju Kalvakolanu,Cross-sell,10.344827651977539,516263.76220703125
Adrian Fischer,Upsell,13.043478012084961,671328.736328125
Adrian Fischer,Renewal,12.820512771606445,489936.1640625
Adrian Fischer,Expansion,11.8421049118042,417583.1474609375
Adrian Fischer,Cross-sell,11.494253158569336,349685.45947265625
Adrian Fischer,New Business,10.714285850524902,303637.5
Alejandro Cantu,New Business,28.75,1195666.54296875
Alejandro Cantu,Cross-sell,16.45569610595703,591222.5153808594
Alejandro Cantu,Upsell,12.5,512068.64892578125
Alejandro Cantu,Expansion,11.25,380466.25744628906
Alejandro Cantu,Renewal,7.5,281217.42578125
Alyssa Francis,Cross-sell,20.43010711669922,1103316.3671875
Alyssa Francis,Upsell,18.461538314819336,746772.8452148438
Alyssa Francis,Renewal,15.053763389587402,746506.216796875
Alyssa Francis,New Business,14.606741905212402,639966.9948730469
Alyssa Francis,Expansion,13.333333015441895,530554.27734375
Amanda Wilson,Expansion,24.390243530273438,950058.8757324219
Amanda Wilson,Renewal,21.052631378173828,741366.560546875
Amanda Wilson,New Business,17.94871711730957,712289.8505859375
Amanda Wilson,Upsell,13.698630332946777,396557.9560546875
Amanda Wilson,Cross-sell,11.627906799316406,536776.7778320312
Angelica Burch,Renewal,14.473684310913086,597555.8515625
Angelica Burch,Upsell,14.473684310913086,405056.4580078125
Angelica Burch,New Business,14.102563858032227,713876.0224609375
Angelica Burch,Cross-sell,13.580246925354004,585088.84765625
Angelica Burch,Expansion,13.580246925354004,528728.1157226562
Ashley Hess,Expansion,20.4819278717041,982247.8736572266
Ashley Hess,Upsell,19.672130584716797,668082.0048828125
Ashley Hess,New Business,15.384614944458008,1006025.0205078125
Ashley Hess,Renewal,14.634146690368652,736054.177734375
Ashley Hess,Cross-sell,6.896551609039307,275812.44189453125
Brenda Davis,Expansion,21.62162208557129,748656.7990722656
Brenda Davis,Upsell,18.292682647705078,587023.4077148438
Brenda Davis,Renewal,16.867469787597656,654693.8366699219
Brenda Davis,New Business,14.545454978942871,360110.9931640625
Brenda Davis,Cross-sell,10.344827651977539,461488.0185546875
Brent Hudson,Expansion,17.94871711730957,694956.6962890625
Brent Hudson,Cross-sell,17.80821990966797,604221.3809814453
Brent Hudson,Renewal,16.88311767578125,703003.748046875
Brent Hudson,New Business,13.636363983154297,598264.3591308594
Brent Hudson,Upsell,11.11111068725586,545976.4204101562
